,title,author,date,body,rating,airport,type_of_lounge,date_visit,type_of_traveller,comfort,cleanliness,bar_&_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,lounge_name
104,"""very spacious lounge""",A Wong,2016-04-26,"The Qantas Business Class Lounge in Hong Kong is a very spacious lounge which is also used by British Airway passengers. Its main merit is the availability of plenty of alcholic drinks, but food quality is only adequate and very Australian. Seating is good, but internet is not satisfactory, and its computers do not connect with printers (there is a printer, but it is not linked up with the computers). In Hong Kong, even if you fly Qantas, you can use the Cathay Pacific lounges (also OneWorld family, several of them) which serves better food but less drink, and has better internet. The lounge is near Gate 20 and it may be inconvenient to access some remote gates.",7,hong kong airport,business class,march 2016,business,4,4,5.0,3.0,4.0,2.0,3.0,yes,
105,"""not much choice of food""",Elizabeth Gardner,2016-04-03,"We were travelling to New Zealand with Emirates, but because we had stopped off in Australia for a couple of weeks, the last leg of our flight was with Qantas. This meant we had to use the Qantas airport lounge rather than the Emirates one (which is really good). The staff at the welcome desk were pleasant and friendly but it was all downhill after that. There was not much choice of food and what there was very unappetising. The lounge was filled with passengers who were obviously not going to be travelling Business Class but who had access to the lounge through frequent travel or something similar. The whole experience was like being in a working-class pub that was giving out free drinks and food.",1,melbourne airport,business class,february 2016,business,2,2,1.0,1.0,2.0,,1.0,no,
106,"""staff friendly and efficient""",Daniel Strassberg,2016-03-31,Qantas Club at Wellington Airport is a nice big lounge for a relatively small airport. Food was fresh and well presented and the lounge staff friendly and efficient. If anything dropped or spilled it was cleaned up in moments and everything was refreshed and topped up quickly. Lounge was clean and very comfortable. WIFI was good and the gate nearby.,9,wellington airport,frequent flyer,march 2016,,5,5,4.0,4.0,4.0,5.0,5.0,yes,qantas club
107,"""modern and elegant""",Peter Xie,2016-03-20,"Qantas has done an excellent job in refreshing this lounge at Hong Kong International. The decor and ambience is modern and elegant. As my flight was just before Christmas, the lounge was not crowded. It overlooked Qantas boarding gates, which gives a better idea of when to board than display boards. The staff are friendly  - especially the barman. The choice of Australian and international wines were of a high standard. The most outstanding part was a 3-course Christmas dinner, along with waiter service.",9,hong kong airport,business class,december 2015,business,5,4,5.0,5.0,4.0,3.0,5.0,yes,
108,"""Impressed with customer service """,I Anderson,2016-03-15,"Qantas lounge at Changi Singapore. Great food, both self serve and available to order off a small but quality menu. Quality bar including mixed drinks made to order. Lots of power and USB outlets available for charging your phone. Impressed with the level of customer service shown by the staff in the lounge, particularly a lady who had a great attitude to all guests!",9,singapore changi airport,business class,march 2016,business,5,5,5.0,5.0,4.0,4.0,5.0,yes,singapore
109,"""peaceful, quiet and relaxed""",A McNicol,2016-03-07,"Qantas Club at Auckland Airport is easy to find, staff excellent, food and beverage options were nicely varied and refreshed when required. A massive facility for the numbers traveling on a Saturday so space was not an issue. Physically it looks a little tired and monotonous with rows of identical chairs. Peaceful, quiet and relaxed just what was needed.",8,auckland airport,business class,march 2016,business,4,5,5.0,5.0,5.0,5.0,5.0,yes,qantas club
110,"""this is bad as it gets""",J Phemister,2016-03-02,"Was directed to this Qantas lounge at Melbourne before a late evening flight. Desk staff were welcoming but beyond that the service was abysmal. No food available, only dregs of hot drinks and a depleted stock of cold drinks available. Staff were clearly interested in closing the lounge down - I had used the lounge a year previous, and that was a poor experience - but this is even worse. For one world alliance travellers this is bad as it gets.",1,melbourne airport,business class,february 2016,business,3,4,1.0,1.0,3.0,1.0,1.0,no,qantas business
111,"""facilities are excellent""",Desmond Don Paul,2016-02-20,The lounge was spacious and tidy. The facilities are excellent. I enjoyed the shower. The food was fresh and the staff willing to help. It was quite pleasing that the duty manager has a dedicated passion for the job.  I spent 5 hours in the lounge and felt at home. The only negative was the vodka tonic I ordered. I think the tonic was off and it tasted awful. Yet the rest of the positives outweighed this aberration.,8,singapore changi airport,business class,february 2016,business,4,4,3.0,4.0,5.0,4.0,5.0,yes,
112,"""Service was friendly""",J Enho,2016-02-20,"We had pleasure to relax in this Qantas Hong Kong Airport lounge while wating our flight to Europe. Service was friendly and at high standards. The staff at the bar kept up nice and cosy ambience with good discussions. Other facilities, like service and showers are well kept. Great place to wait for a flight.",10,hong kong airport,business class,february 2016,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
113,"""poor selection of food""",David Hooker,2016-02-06,"Spent 4 hours in the Lounge awaiting departure to London. Found seating comfortable but somewhat limited, particularly when looking for adjacent power supplies. Greeting very friendly and staffing levels acceptable. Toilets clean and showers available, (although not used by us). No champagne available and a poor selection of food. Only one hot dish at lunchtime is surely not acceptable. Barista coffee is great and the Gelato cart is a great idea. Surely Neil Perry's influence should extend to the food in the lounge!",5,sydney airport,business class,february 2016,business,4,4,3.0,1.0,3.0,3.0,4.0,yes,
114,"""service second to none""",Shane Grieve,2016-02-01,"I was downgraded from Platinum to gold status last year and have not had the pleasure of using Qantas business lounges. On my flight Sydney to Adelaide on 29th January I upgraded to business with points. In the lounge I was recognised by staff, and made to feel extremely welcome and received service second to none.  Unfortunately I do not travel business class often and was unable to retain the Platinum status this year but hopefully will achieve this status again soon to enjoy the company of Qantas lounge staff in Sydney and other lounges.",10,sydney airport,business class,january 2016,business,5,5,5.0,5.0,5.0,,5.0,yes,domestic lounge
115,"""a great experience""",Rina Shepherd,2016-01-31,"On our recent visit to this LAX lounge we encountered the most helpful staff member who went above and beyond to help.  My daughter was suffering from the beginnings of a nasty throat infection - never good when you're away from home! Staff brought tea and kept coming to our table checking on my daughter and asking if there was anything we needed that was within her ability to provide. In this situation this was great. There was plenty of space, the meals were delicious and the service by staff was above and beyond, courteous and professional. The bathrooms were clean and well supplied. Overall a great experience.",10,los angeles lax airport,first class,january 2016,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
116,"""not my favourite lounge""",C Nochlin,2016-01-31,"Qantas Club at the Domestic Terminal at Melbourne - this is definitely not my favourite lounge. If I was not with a business colleague who wanted to go to the lounge, or wanted some food, I would skip this lounge and go sit at an empty, quiet gate area. Although the floor space of this lounge is large, it is busy, very crowded on most occasions, the Wifi is bad (better outside) and the food and beverage choices are nothing to speak of. The kitchen staff do try to replenish the dishes. I tried to have a teleconference at this lounge from my mobile phone and the reception was extremely bad. At least the washrooms and showers are clean. It is a business lounge I'll never miss going to.",2,melbourne airport,frequent flyer,january 2016,,2,4,2.0,2.0,4.0,1.0,3.0,no,qantas club
117,"""a great respite""",Malcolm Morrison,2016-01-31,"The Qantas Sydney First Lounge is a great respite after a hard day. The staff are courteous, helpful and happy to see you. The menu changes frequently and selection of wines is high quality. Adding a dark beer to the drinks list would make the set up perfect.",10,sydney airport,first class,december 2015,,5,5,4.0,5.0,5.0,5.0,5.0,yes,first class
118,"""one of the better lounges""",C Nochlin,2016-01-31,"The Qantas Lounge at Adelaide Airport serves both domestic and international passengers of Qantas and Oneworld passengers (there is only 1 terminal at Adelaide Airport). The showers and bathroom section are clean and spacious. The section with PCs and desks is well patronised on most occasions. The food self service area is standard for Qantas domestic lounges and well replenished : a rotation of soup with croutons, antipasto, bread, salad, and during evening, hot food is brought out. The bar area is well stocked with Australian wines to sample. It can be busy and crowded, but unlike the Qantas domestic lounge in Melbourne, it has a better layout, is just next to the boarding gates for many domestic east coast departures (as opposed to the long walk from the Melbourne lounge to an onward Sydney flight). This is one of the better business lounges in Australia.",7,adelaide airport,frequent flyer,may 2015,,3,4,3.0,3.0,4.0,4.0,3.0,yes,qantas
119,"""staff friendly and helpful""",Neil Jeram,2016-01-07,First visit to the Singapore lounge. First impressions - a huge place. The bar is great and plenty of seating of all types but just felt empty. Mind you I was on the midnight run back to Sydney so there were very few in the lounge and probably more of a buzz when it is full. F & B were fine and service from staff was friendly and helpful.,8,singapore changi airport,business class,january 2016,business,5,5,5.0,3.0,4.0,5.0,5.0,yes,singapore
120,"""lounge has closed""",Daniel Reeders,2016-01-04,"Lounge has closed, but there's no mention of this on the Qantas website at the time that I flew, so I was walking laps of the gigantic G concourse, all three levels, trying to find it. I'm moderately shortsighted so I didn't see the A4 laserprinted sign up on a podium behind the glass at the former Qantas lounge directing visitors to the C.I.P. Lounge next door. Qantas, you owe me a foot massage.",1,bangkok suvarnabhumi airport,business class,january 2016,business,1,1,1.0,1.0,1.0,1.0,1.0,no,bangkok
121,"""one of the better lounges""",David Dale,2016-01-02,"I have visited the Qantas Manaia Lounge at Christchurch Airport a number of times this year. I find it to be one of the better lounges in the Qantas network. It's spacious, has a good selection of food and beverages, good wifi and handy to the Qantas gate (across from the lounge entrance). Staff are welcoming. I always enjoy visiting this lounge.",9,christchurch airport,frequent flyer,january 2016,,5,5,5.0,4.0,4.0,5.0,5.0,yes,manaia lounge
122,"""limited facilities""",David Hooker,2016-01-01,"Visited the A380 concourse lounge at Dubai in transit between Heathrow and Sydney. Arrived early morning, approximately 7am, when it was still necessary to book and wait for a shower. Recommend that you don't move away from the desk area otherwise you can lose your space. Lounge and surroundings spacious, clean and tidy. Wifi very slow. Staff at shower block also helpful but still limited facilities for so many clients/customers.",7,dubai airport,business class,december 2015,business,4,4,,3.0,3.0,1.0,5.0,yes,dubai
123,"""reasonable facilities""",Reece Henry,2015-12-26,"Lounge is good, with some reasonable facilities. Has a good outlook across the gate onto the airport. Food is good with some reasonable options. Overall most the staff are okay. Have been to the lounge on about 10 occasions and prefer it over the Cathay lounge options.",8,hong kong airport,first class,september 2015,,4,4,4.0,4.0,4.0,3.0,3.0,yes,qantas one world
124,"""This is First Class?""",Stephen Sasse,2015-12-14,"Empty glasses, part empty glasses, half consumed snacks and dirty plates - on pretty much every horizontal surface in sight. Luke warm water, no ice, greatest hits of some Bee Gees wannabes over the PA. No sockets for anything other than the UK plug. The surface of the ""desk"" has a sticky patina of salt and sugar - I cleaned it all myself. This is First Class? Thanks Qantas - I will head out to the public areas of the terminal - at least the general public have some standards of cleanliness.",1,london heathrow airport,first class,december 2015,,1,1,1.0,1.0,,2.0,1.0,no,lhr first class
125,"""Food and beverages fine""",Neil Jeram,2015-12-12,Qantas business lounge at Sydney to start off a trip to London. Food and beverages were fine and enough time to freshen up before leaving. The Emirates lounge at DXB is superb and on both outbound and inbound had time for a shower and snack to freshen up. Lounge access for long haul does make a difference.,9,sydney airport,business class,december 2015,business,5,5,5.0,4.0,5.0,5.0,4.0,yes,sydney
126,"""full of undisciplined children""",Stephen Sasse,2015-12-04,"Qantas Business class lounge at Brisbane Airport was full of undisciplined children - nowhere is it possible to take a 'phone call, let alone work quietly.  Calling it a 'Business Lounge' is misleading calumny. It is far more peaceful out with the well behaved masses in the main section of the airport.",1,brisbane airport,business class,december 2015,business,1,1,,,,,1.0,no,
127,"""CEO's new cost cutting exercises""",P Edwards,2015-11-23,"Closed permanently as of Sunday 15th November, 2015 I should have known things were on the way down in June 2015 when I last visited this lounge. On that occasion, one of the Qantas CEO's new cost cutting exercises was to put restricted opening hours on this lounge due to 1 flight a day. That doesn't help when they close the lounge at 9.45 pm on a Tuesday night - and kicking everyone out - despite a delayed departure time of 0100 hrs (delayed 3.5 hours). Being a Qantas club member / business class passenger meant nothing - and never received a reply to my complaint. Then to depart on 19th November 2015, at check in I am told the lounge closed permanently the Sunday Prior (Thanks again CEO). But they tell me all is good - I can use the cheaper 'Louis Tavern CIP' lounges in Bangkok - only problem is they will not allow Qantas Club members to use the lounge. So in a nutshell - the slow death of the Australian Icon begins. The flying Kangaroo is about to become Road Kill.",1,bangkok suvarnabhumi airport,business class,november 2015,business,1,1,,,,,,no,qantas club
128,"""food is limited""",Gordon Chirgwin,2015-10-23,"The food in this Qantas lounge is limited. There seemed to be a general deficit of hot food and salad items. Only one salad meat was offered, and no hot meats. The only soup, tomato, was quite nice. Similarly the steamed spiced rice and the ham. As I was visiting at dinner time, this is somewhat disappointing. The variety of newspapers has been reduced - so only Telegraph and The Australian are available - not good enough when many more Sydney Business people read the SMH. There were no good general interest magazines available. WiFi reception is excellent. Service was lacking - we had to gain attention to have our table cleared.",7,sydney airport,business class,october 2015,business,3,4,4.0,2.0,4.0,5.0,2.0,yes,sydney
129,"""beautiful Qantas lounge""",David Dale,2015-10-14,A beautiful Qantas lounge in North Queensland at Townsville Airport. I use this lounge regularly. Furniture recently revamped in the new Qantas Club style. Food and drinks are plentiful for a lounge this size. Can get busy at peak travel times during the afternoon and evening. Lounge is clean. Good view out to planes and tarmac. Lounge staff are always friendly. Tables cleaned regularly. Wifi fast and free.,9,townsville airport,frequent flyer,october 2015,,5,5,4.0,4.0,4.0,4.0,5.0,yes,qantas club
130,"""worry about Qantas sense of style""",Ryan Shaw,2015-09-27,"This Qantas lounge everyone in Australia raves about, but having been there 4-5 times I'm just underwhelmed. The food is amazing, view is great, but everything else is just overrated. The fit out is just so 'common' - the wooden pillars/columns look great but the rest is just bare, with the old white marble looking dated. The seats are getting worn and are the output of style over substance - just too low to be comfortable. The cutlery 'specially designed for Qantas' looks like it came from Target. The carpet is horrible. Tried the Spa twice and it is a nice idea but just such average execution - good job it is free as I would not pay anything for that standard of service. I do worry about Qantas and their sense of style - the cabins, lounges and even new uniforms just look boring and dated to me. They seem to be trying too hard but there are too many misses and there is nothing distinctive about their design approach. The food in the lounge is amazing - the best I have ever had in a lounge. Fresh, great choice, tasty, cooked to order, amazing wines. Wish I didn't have to look at that carpet which makes me feel ill while I eat it!",7,sydney airport,first class,september 2015,,3,3,5.0,5.0,3.0,4.0,4.0,yes,
131,"""unimpressed with the limited food""",Brett Kerrison,2015-09-26,"I was very unimpressed with the limited food at the Qantas international lounge at Sydney Airport. There is a very limited view of runways, the drinks are good quality and the staff are friendly enough. There was plenty of seating when I was there (late evening) but would think would have limited seating during peak times",6,sydney airport,business class,september 2015,business,3,3,5.0,2.0,3.0,,4.0,yes,
132,"""the service is nice""",Andrew Jerome,2015-08-25,"This lounge is nice, even though Sydney airport is very unpleasant. The service is nice, and the food offering is quite reasonable.",7,sydney airport,business class,august 2015,business,4,5,4.0,4.0,,4.0,4.0,yes,
133,"""one of the best lounges I have visited""",Andrew Jerome,2015-08-25,Definitely one of the best lounges I have visited. The service is wonderful and the food offering is great. The showers are amazing and well staffed. I would look forward to visit this lounge again.,10,hong kong airport,business class,august 2015,business,5,5,4.0,4.0,5.0,5.0,5.0,yes,
134,"""Terrible food, no service""",Leslie Margulis,2015-08-16,"What a disappointment. You think Qantas Airways would use this as a perfect example given this is the home airport. Terrible food, no service, self service bar. The only good thing that I can say about it was that the bathrooms were clean. Qantas management should see the level of service and food offered by competing carriers.",3,sydney airport,business class,august 2015,business,3,4,2.0,1.0,4.0,3.0,1.0,no,
135,"""outstanding lounge for amenities""",S Symon,2015-08-11,"Outstanding lounge for amenities, staff, and food. As a Oneworld Emerald through BA I had access to the lounge despite not traveling on a first class ticket and I was impressed. A huge range of wine and newspapers offered. I dined in the restaurant area with a superb three-course meal.",10,los angeles lax airport,first class,july 2015,,5,5,5.0,5.0,5.0,5.0,5.0,yes,first class
136,"""Most impressive in all aspects""",A McNicol,2015-08-06,"Most impressive in all aspects. This is the best airport lounge I have visited (sadly I have not seen the QF First Class lounge in SYD). Plenty of seats, good views over the airport, excellent food and drink offerings with attentive staff. A great improvement over the lower level dungeon that used to exist in HKG for business and club members a few years ago.",10,hong kong airport,business class,august 2015,business,5,5,5.0,5.0,4.0,4.0,5.0,yes,qantas club
137,"""woefully inadequate space and seating""",A McNicol,2015-08-06,Woefully inadequate space and seating for the morning crowds. Passengers pacing the lounge looking for seating were a regular occurrence. The food is good and staff excellent but it simply is not big enough for the peak traffic time.,6,sydney airport,business class,july 2015,business,2,3,4.0,4.0,4.0,5.0,5.0,yes,qantas club
138,"""lazy imitation of it's counterparts""",T Savage,2015-07-22,"The Qantas international terminal business class lounge is a lazy imitation of it's counterparts. There is a lack of service generally, the bar is self service and the variety of food offerings are minimal. The lounge seems to have more in common with the lounge at the leisure destination on the Gold coast than the Qantas lounge in Singapore. Traveling with a young child, I headed for the kids corner to keep our daughter entertained as we prepared for our flight. In this case the 'corner' was very much that, distant from the lounge proper so that a responsible parent flying solo with their kids is unable to get away to the bar or food counter to get any meals without packing everything up and lugging it all with them. There was no offer from the lounge staff to watch our bags, entertain the kids briefly or to bring any food or drinks. What was available in the kids corner was adequate but a few TVs and some toys and beanbags are not especially creative or novel. These small touches make a big difference. While the lounge offers a quiet place to relax before a flight, it could be improved to bring it up to scratch and meet expectations.",5,sydney airport,business class,june 2015,business,3,4,3.0,2.0,3.0,4.0,2.0,yes,business lounge
139,"""food options were terrible""",N Hodgson,2015-07-17,"Food options in the lounge were terrible, and in much need of an upgrade overall which I understand is coming. Very little natural light, and found it quite depressing. Internet was appallingly slow also. Ended up leaving and spending time in the departure. More vibrant, well lit, and much better food options!",3,auckland airport,frequent flyer,june 2015,,3,4,2.0,1.0,,2.0,,no,qantas club
140,"""staff were very polite and friendly""",W Blades,2015-07-10,"Lounge was clean, comfortable and staff were very polite and friendly. On our visit on 9 July 2015 there was a high number of children in the lounge (families like ourselves travelling) which made things rather congested given the small lounge size. Unsure if this was usual given it was the end of Australian school holidays. Food was limited, but fresh and of good quality. Once again the lounge was heavily congested, so this may account for the limited availability of food. Lounge was located very close to Qantas boarding gates and only a short distance from a dedicated smoking room which makes things easy if you happen to be a smoker.",9,tokyo narita airport,first class,july 2015,,4,5,4.0,3.0,5.0,4.0,5.0,yes,first class
141,"""Business Lounge is very modern""",O Nyholm,2015-07-07,"Business Lounge is very modern. Once you walk into the Qantas Club, the assistant will direct you to a non-see through door that is marked 'Business'. It also labels the access criteria. This feature makes it feel exclusive. The lounge is less than half the size of the Qantas Club, however, it serves more substantial food. It is hard to get into the lounge because you must be flying Business Class or one of Qantas', Emirates, Oneworld Platinum member. The lounge has its own business centre and mini library. It is a big step up from the a Melbourne Qantas Club",9,melbourne airport,business class,july 2015,business,4,4,4.0,4.0,3.0,5.0,4.0,yes,business domestic
142,"""lounge is very spacious""",O Nyholm,2015-07-07,"The lounge is very spacious. I don't get why there isn't a Business Lounge. The usual food choices are available, such as pastas and salads. There is a barista in the morning and from 5pm there is a bar. Boarding calls are made. The lounge can be busy at times because it is also used as an International lounge for Air New Zealand, Malaysia Airlines and Cathay Pacific.",7,adelaide airport,frequent flyer,july 2015,,3,4,3.0,3.0,4.0,3.0,3.0,yes,qantas club
143,"""lounge is very old and inadequate""",James Fallon,2015-07-05,This lounge is very old and inadequate for the volume of passengers that attempt to enter. At peak times the staff are literally forced to send eligible passengers away due to capacity constraints. Staff often get out their office desk chairs for use of the passengers due to lack of seating. All flights are morning flights so there is an adequate selection of food and drink and the staff are great! Unfortunately though they are constantly having to face the onslaught of disappointed guests who are barred from entry. Qantas have upped their flights but done nothing to sustain the surge.,3,honolulu airport,business class,july 2015,business,1,5,3.0,3.0,4.0,5.0,5.0,no,qantas club
144,"""lounge is totally inadequate""",D Lobo,2015-05-29,This lounge is totally inadequate for the number of people. Was there for the QF 11. Nowhere to sit comfortably people sleeping across 2 chairs long barista queue. As these lounges have now become one world they are beginning to resemble upmarket train waiting rooms,3,sydney airport,business class,,business,2,3,2.0,3.0,4.0,5.0,3.0,yes,
145,"""this lounge was superb""",D Lobo,2015-05-29,This lounge was superb. Lots of space with different zones clean great furniture and design good bar area. Qantas/ one world airlines have spent money on this and it is world class. The only gripe is the number of showers- there are too few for the number of passengers arriving from Australia - Sydney Melbourne and Brisbane all arrive at roughly the same time to connect with the New York flight so the wait is too long. Otherwise can't fault this lounge.,5,los angeles lax airport,business class,,business,5,5,5.0,4.0,3.0,5.0,5.0,yes,
146,"""crowded awful food and service""",D Lobo,2015-05-29,What an awful lounge - crowded awful food and service. The food was sparse it kept running out and took ages before they replenished. No glasses available and when I told the staff she brought out 1 glass for me rather than refill the glass tray! There was even a queue for the toilet. Again too small for all one world customers.,2,new york jfk airport,business class,,business,1,2,1.0,1.0,1.0,4.0,1.0,no,galleries lounge
147,"""offered little other than a clean place to sit""",John Denholm,2015-05-10,Qantas really has diminished the value of Club membership. While the staff were very polite and helpful this lounge (like a growing number in the Qantas group) offered little other than a clean place to sit. Hardly worth the extravagant joining and annual fees. Extremely limited offering of food - even less than you would find in a domestic club on the Australian mainland. We ended up buying food from one of the Cafes outside. I managed to get a quick look into a couple of the other Auckland lounges. Qantas should be embarrassed and ashamed of what they offer their Club members.,2,auckland airport,business class,,business,4,3,1.0,1.0,3.0,2.0,2.0,no,
148,"""was absolute pandemonium in the lounge""",Peter Davies,2015-04-02,Arrived at Sydney airport on Good Friday morning tired and needing a place to rest refresh and have a cup of tea. It was absolute pandemonium in the lounge not a spare seat to be seen families sitting on the floor and an absolute disgrace. This is our worst business class lounge experience in 20 years of international travel.,1,sydney airport,business class,,business,1,1,1.0,1.0,1.0,1.0,1.0,no,
149,"""Was a relief to visit this lounge""",K Neilsen,2015-03-29,Was a relief to visit this lounge after finding our connecting flight was two hours late. Staff was very good from entry to inside. A modern lounge with plenty of spaces to sit and relax. Also was very surprised to find all the reserve table signs be nice if someone explained who they were for. The food wasn't great plenty of beverages.,4,hong kong airport,business class,,business,4,4,4.0,2.0,4.0,4.0,5.0,yes,
150,"""starting to look old""",Craig Ritchie,2015-03-29,Day flight to Singapore the lounge was actually pretty quiet. Food selection (breakfast) was pretty good and actually tasty. Lounge itself is really starting to look old and some of the chairs very ratty indeed. Good selection of local newspapers etc to read staff service was good. Its time to update this Business Lounge it needs a good going over which has been the case now for the past 3 years.,3,brisbane airport,business class,,business,3,3,4.0,4.0,4.0,1.0,4.0,yes,
151,"""Lounge is not up to the job""",Craig Ritchie,2015-03-29,Compared to Hong Kong Qantas Singapore Lounge is not up to the job. Very sterile place indeed chairs look horrible and are horrible to seat in. Food selection if its Neil Perry its not up to it at all. Bar is good service is okay. Toilets and showers are good whilst there is a good selection of Australian newspapers etc to read. Overall compared to the Qantas Hong Kong Business Lounge the Singapore Lounge falls down badly indeed in terms of looks and quality offered.,3,singapore changi airport,business class,,business,2,4,3.0,1.0,4.0,1.0,3.0,no,qantas business class lounge review
152,"""it is an utter disgrace overcrowded""",K Neilsen,2015-03-29,It appears there is only a club lounge at Brisbane Airport and it is an utter disgrace overcrowded. We asked for the business lounge and told that was it many people had to leave as there just wasn't any room. If this is how Qantas treat their business class passengers Ill look elsewhere in future.,2,brisbane airport,business class,,business,1,1,3.0,2.0,2.0,2.0,2.0,no,
153,"""food was generally good""",B Heil,2015-03-22,It is ages since I have been greeted on entering a lounge with genuinely smiling faces and the offer of drinks. There is a bar serving the signature dish and a choice of good Australian wines. It's a very casual dining option if you dont want to sit at a table. The food was generally good with healthy options available and a menu to reflect time of day.,5,hong kong airport,business class,,business,5,5,5.0,5.0,5.0,2.0,5.0,yes,
154,"""probably the best we have visited""",Tess Jones,2015-03-22,Fantastic lounge probably the best we have visited. Very clean & modern staff excellent. A pleasure to visit on a long haul trip to Australia.,5,hong kong airport,business class,,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
155,"""A rather packed lounge""",R King,2015-03-01,A rather packed lounge with lots of chairs but no view of the apron or runway so boring! Freezing cold (outside was a heatwave) and when I mentioned this a member of staff said that everyone had complained - so do something about it! Several people left to warm up elsewhere. And why not? The food choice was not going to keep them entertained: there was no choice - rice and a stew. Little else in the way of food. Overall rather disappointing when you consider how good Qantas lounges can be (Singapore for example). It felt as if no one cared for the lounge.,3,brisbane airport,business class,,business,3,4,3.0,1.0,2.0,3.0,3.0,no,
156,"""staff being courteous and unobtrusive""",N Thorpe,2015-02-25,The Qantas Club Lounge was fairly acceptable. Very good food and drink with staff being courteous and unobtrusive. Nice showers except there was no bench or seat on which to sit down whilst putting on my shoe. The décor deliberately industrial was not inviting or comforting. Seats were OK but not great.,4,singapore changi airport,business class,,business,3,4,4.0,5.0,2.0,3.0,5.0,yes,
157,"""staff are brilliant without being obtrusive""",B Anderson,2015-01-30,As an Emirates platinum member I am able to access the Qantas first lounge while travelling on Emirates from New Zealand to Dubai during my stop-over in Melbourne. It is not a massively large lounge but has never been overly busy when I have visited and in fact has been very peaceful. The restaurant is excellent offering great food and quick service. The staff are brilliant without being obtrusive. I prefer this lounge to any Emirates lounge and enjoy the peace and quiet.,5,melbourne airport,first class,,,4,5,5.0,5.0,4.0,4.0,5.0,yes,
158,"""overcrowded dark noisy dirty""",G David,2015-01-30,Overcrowded dark noisy dirty full of rude passengers and overwhelmed staff. Was served scotch in a glass fresh out of the dryer so scalding hot. Was cut in queue at showers twice by pushy women with kids in tow staff helpless to enforce numbers as no one on desk. Has opened before it is ready and without adequate staff to provide service required of an international business lounge.,2,los angeles lax airport,business class,,business,1,1,2.0,2.0,1.0,3.0,1.0,no,
159,"""staff couldn't care less""",N Wallace,2015-01-27,Qantas uses this as a shared airport lounge probably no choice. I suspect this was a oneworld shared lounge. Staff couldn't care less. The toilet had been broken into as the main door handle and lock were falling off the door. For an international lounge the food and drinks were woeful. The internet connection was difficult and rarely worked when connected just gave up on it. I wouldn't recommend it but there is no choice unless perhaps you use one of the paid lounges eg Priority Pass might be better. Seats were torn and the filling was coming out of many. At least it did have a flight status monitor. No blaring and annoying TV was a bonus. For an international shared lounge the reading material was very limited ie basically non existent.,1,shanghai pudong airport,business class,,business,1,2,1.0,1.0,1.0,1.0,1.0,no,
160,"""not hugely impressed""",Rob Johnson,2015-01-02,I know it's Sunday morning but might the staff smile and acknowledge passengers? I always thank staff for clearing tables etc. and generally get at least an acknowledgement if not a short conversation. Today - nothing. Not hugely impressed as it's far better during the week.,4,sydney airport,business class,,business,4,3,4.0,4.0,4.0,4.0,2.0,yes,
161,"""typically disappointing Qantas lounge""",Trevor Young,2014-10-28,Typically disappointing Qantas lounge. Crowded grumpy staff and passengers sprawled everywhere with luggage blocking seats. I noticed many tables had reserved signs - in all my years of travel with Qantas I was not aware that it was possible to reserve tables in the lounge. Food was generally ok but long since cooled down. Plenty of alcohol but no bottled water.,3,hong kong airport,business class,,business,2,4,4.0,2.0,4.0,3.0,1.0,no,
162,"""such a huge improvement""",P Neville,2014-10-28,Just visited the new Qantas club in Darwin and it was fantastic and such a huge improvement from what was there previously. The design is modern with many seating options available. The buffet was well set up and the staff were clearing by tray which looked and felt premium. I enjoyed a barista coffee then took a shower prior to my flight in a very comfortable shower room. Everything was perfect and was matched by the engaging staff to welcome me and then farewell on boarding with a bowl of mints nice touch. Great work with this new lounge Qantas.,5,darwin airport,,,,5,5,5.0,5.0,5.0,5.0,5.0,yes,qantas club
163,"""very stark and industrial looking""",Paul Williss,2014-10-04,Used this lounge flying into Australia. We entered the lounge probably about 9.30 at night and there was hardly anyone in there - probably no more than thirty people. The place is huge very stark and industrial looking. As we were flying Jetstar I wisely decided to eat before the flight. Plenty of food on offer and ate from the hot buffet black pepper chicken and delicious crispy skin mashed potato. My friend had the pasta and was equally delicious all washed down with a couple of glasses of champagne. Went back a little later and had individual desserts the best creme brulee I have had a really good chocolate mousse and a liqueur. Staff were very pleasant a comfortable place albeit a bit cold due to air con temperature but well worth the visit.,5,singapore changi airport,first class,,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
164,"""What a lovely lounge""",Craig Ritchie,2014-10-04,What a lovely lounge. Very pleasant surprise plenty of space lots of good food and drink to hand toilets and showers very clean. WIFI good as well great choice of current magazines as well as newspapers from around the world. Overall a much improved lounge in HK International. Made flying economy back to Brisbane overnight that much more pleasant.,5,hong kong airport,business class,,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
165,"""lounge needs to be revamped""",Craig Ritchie,2014-10-04,This lounge needs to be revamped as its showing its considerable age. The food selection has much improved when we were taking our day flight to HK. Hot breakfast meal available which was very good along with the freshly made to order coffee. Only gripe was the Apple Mac would not work and the staff could not get it to work either. Good selection of current magazines and newspapers to read though.,4,brisbane airport,business class,,business,4,4,5.0,4.0,5.0,2.0,5.0,yes,
